path,spoken_language,signed_language,start,end,words,glosses,priority
vsl/a1c.pose,vi,vsl,0,0,ác,ác,0
vsl/a1o.pose,vi,vsl,0,0,áo,áo,0
vsl/a1o_a61m.pose,vi,vsl,0,0,áo ấm,áo ấm,0
vsl/a1o_ba2_ba.pose,vi,vsl,0,0,áo bà ba,áo bà ba,0
vsl/a1o_ca1nh.pose,vi,vsl,0,0,áo cánh,áo cánh,0
vsl/a1o_choa2ng.pose,vi,vsl,0,0,áo choàng,áo choàng,0
vsl/a1o_cu7o71i.pose,vi,vsl,0,0,áo cưới,áo cưới,0
vsl/a1o_d9o62ng_phu5c.pose,vi,vsl,0,0,áo đồng phục,áo đồng phục,0
vsl/a1o_gile.pose,vi,vsl,0,0,áo gile,áo gile,0
vsl/a1o_khoa1c.pose,vi,vsl,0,0,áo khoác,áo khoác,0
vsl/a1o_lo1t.pose,vi,vsl,0,0,áo lót,áo lót,0
vsl/a1o_may_o6.pose,vi,vsl,0,0,áo may ô,áo may ô,0
vsl/a1o_mu7a.pose,vi,vsl,0,0,áo mưa,áo mưa,0
vsl/a1o_pho6ng.pose,vi,vsl,0,0,áo phông,áo phông,0
vsl/a1p_phi1ch.pose,vi,vsl,0,0,áp phích,áp phích,0
vsl/a3nh.pose,vi,vsl,0,0,ảnh,ảnh,0
vsl/a3o_gia1c.pose,vi,vsl,0,0,ảo giác,ảo giác,0
vsl/a3_ra65p.pose,vi,vsl,0,0,ả rập,ả rập,0
vsl/a61m_a1p.pose,vi,vsl,0,0,ấm áp,ấm áp,0
vsl/a61m_nu7o71c.pose,vi,vsl,0,0,ấm nước,ấm nước,0
vsl/a63m_u7o71t.pose,vi,vsl,0,0,ẩm ướt,ẩm ướt,0
vsl/a6m_d9a5o.pose,vi,vsl,0,0,âm đạo,âm đạo,0
vsl/a6m_mu7u.pose,vi,vsl,0,0,âm mưu,âm mưu,0
vsl/a6n_nha6n.pose,vi,vsl,0,0,ân nhân,ân nhân,0
vsl/a6u_co7.pose,vi,vsl,0,0,âu cơ,âu cơ,0
vsl/a84m.pose,vi,vsl,0,0,ẵm,ẵm,0
vsl/a8n.pose,vi,vsl,0,0,ăn,ăn,0
vsl/a8n_ca81p.pose,vi,vsl,0,0,ăn cắp,ăn cắp,0
vsl/a8n_chay.pose,vi,vsl,0,0,ăn chay,ăn chay,0
vsl/a8n_co7m.pose,vi,vsl,0,0,ăn cơm,ăn cơm,0
vsl/a8n_d9u3.pose,vi,vsl,0,0,ăn đủ,ăn đủ,0
vsl/a8n_ho3i.pose,vi,vsl,0,0,ăn hỏi,ăn hỏi,0
vsl/a8n_kie6ng.pose,vi,vsl,0,0,ăn kiêng,ăn kiêng,0
vsl/a8n_ma2y.pose,vi,vsl,0,0,ăn mày,ăn mày,0
vsl/a8n_tro65m.pose,vi,vsl,0,0,ăn trộm,ăn trộm,0
vsl/a8n_uo61ng.pose,vi,vsl,0,0,ăn uống,ăn uống,0
vsl/a8n_vu72a.pose,vi,vsl,0,0,ăn vừa,ăn vừa,0
vsl/a8n_xin.pose,vi,vsl,0,0,ăn xin,ăn xin,0
vsl/ai.pose,vi,vsl,0,0,ai,ai,0
vsl/aids.pose,vi,vsl,0,0,aids,aids,0
vsl/ai_cho.pose,vi,vsl,0,0,ai cho,ai cho,0
vsl/albania.pose,vi,vsl,0,0,albania,albania,0
vsl/anh_ca3.pose,vi,vsl,0,0,anh cả,anh cả,0
vsl/anh_chi5.pose,vi,vsl,0,0,anh chị,anh chị,0
vsl/anh_chi5_em.pose,vi,vsl,0,0,anh chị em,anh chị em,0
vsl/anh_du4ng.pose,vi,vsl,0,0,anh dũng,anh dũng,0
vsl/anh_em.pose,vi,vsl,0,0,anh em,anh em,0
vsl/anh_em_ho5.pose,vi,vsl,0,0,anh em họ,anh em họ,0
vsl/anh_em_ruo65t.pose,vi,vsl,0,0,anh em ruột,anh em ruột,0
vsl/anh_em_sinh_d9o6i.pose,vi,vsl,0,0,anh em sinh đôi,anh em sinh đôi,0
vsl/anh_ho5.pose,vi,vsl,0,0,anh họ,anh họ,0
vsl/anh_hu2ng.pose,vi,vsl,0,0,anh hùng,anh hùng,0
vsl/anh_re63.pose,vi,vsl,0,0,anh rể,anh rể,0
vsl/anh_ruo65t.pose,vi,vsl,0,0,anh ruột,anh ruột,0
vsl/anh_trai.pose,vi,vsl,0,0,anh trai,anh trai,0
vsl/anh_vo75.pose,vi,vsl,0,0,anh vợ,anh vợ,0
vsl/an_ninh.pose,vi,vsl,0,0,an ninh,an ninh,0
vsl/ao_ho62.pose,vi,vsl,0,0,ao hồ,ao hồ,0
vsl/ba.pose,vi,vsl,0,0,ba,ba,0
vsl/ba1ch_thu1.pose,vi,vsl,0,0,bách thú,bách thú,0
vsl/ba1c_si4.pose,vi,vsl,0,0,bác sĩ,bác sĩ,0
vsl/ba1n.pose,vi,vsl,0,0,bán,bán,0
vsl/ba1nh.pose,vi,vsl,0,0,bánh,bánh,0
vsl/ba1nh_be2o.pose,vi,vsl,0,0,bánh bèo,bánh bèo,0
vsl/ba1nh_bo65t_lo5c.pose,vi,vsl,0,0,bánh bột lọc,bánh bột lọc,0
vsl/ba1nh_chu7ng.pose,vi,vsl,0,0,bánh chưng,bánh chưng,0
vsl/ba1nh_co61m.pose,vi,vsl,0,0,bánh cốm,bánh cốm,0
vsl/ba1nh_d9u1c.pose,vi,vsl,0,0,bánh đúc,bánh đúc,0
vsl/ba1nh_gai.pose,vi,vsl,0,0,bánh gai,bánh gai,0
vsl/ba1nh_gio2.pose,vi,vsl,0,0,bánh giò,bánh giò,0
vsl/ba1nh_in.pose,vi,vsl,0,0,bánh in,bánh in,0
vsl/ba1nh_ke5o.pose,vi,vsl,0,0,bánh kẹo,bánh kẹo,0
vsl/ba1nh_khoa1i.pose,vi,vsl,0,0,bánh khoái,bánh khoái,0
vsl/ba1nh_khu1c.pose,vi,vsl,0,0,bánh khúc,bánh khúc,0
vsl/ba1nh_lo5c.pose,vi,vsl,0,0,bánh lọc,bánh lọc,0
vsl/ba1nh_mi2.pose,vi,vsl,0,0,bánh mì,bánh mì,0
